name,reviewer,no_stars,review_body,guide,no_reviews,review-date,url,timestamp
SARPI | Georgian-Turkish border - Google Maps,Jay Noorzad,4 stars,"land border crossing Sarpi Turkey to Sarpi Georgia,

As for the queue management it was a bit of chaotic felt like cattles being …. More","Local Guide · 134 reviews · 2,186 photos","Local Guide · 134 reviews · 2,186 photos",a week ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNuMjU3VmR3EAE",2024-10-09T07:03:41Z
SARPI | Georgian-Turkish border - Google Maps,Emma Saunderson,1 star,"If I could leave -20 stars I could. Absolutely horrifying experience. The lack of disrespect for patient and paying individuals is absolutely ridiculous. The staff at the duty free and tax free were incredibly rude, disrespectful and made …. More",Local Guide · 66 reviews · 134 photos,Local Guide · 66 reviews · 134 photos,5 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUREZ2JlX09nEAE",2024-10-09T07:03:41Z
SARPI | Georgian-Turkish border - Google Maps,Pied Piper,1 star,"100 countries visited, and the worst border crossing in history. Shoved around like cattle, with no queues, and are made to push and shove and argue to get seen. Everyone pushing and queue jumping as no actual line. Never been through this …. More",Local Guide · 274 reviews · 641 photos,Local Guide · 274 reviews · 641 photos,a month ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUQ3Z2ZPT0lBEAE",2024-10-09T07:03:41Z
SARPI | Georgian-Turkish border - Google Maps,Eva von der Lippe,1 star,"Horrible experience.
For the passenger inside this terminal- very hot, hundreds of people in one room. Half passed out babies, and old grannies getting shoved and hit by men trying …. More",Local Guide · 19 reviews,Local Guide · 19 reviews,a month ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUQ3MjlTZVRBEAE",2024-10-09T07:03:42Z
SARPI | Georgian-Turkish border - Google Maps,Utkan Başkadem,2 stars,"The lack of air conditioning makes the already long process extremely painful. They try to fit everyone into a small tube with almost no windows, and it feels like you're about to drown because of the hot air. Also, why aren't there more …. More",Local Guide · 133 reviews · 69 photos,Local Guide · 133 reviews · 69 photos,2 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURybnMtLXFRRRAB",2024-10-09T07:03:42Z
SARPI | Georgian-Turkish border - Google Maps,Daniela Werner,1 star,"From Georgia to Turkey - catastrophic border crossing. We arrived in the evening in our own car. Although there was hardly any traffic, I had to go through a separate passport control as a passenger; the passengers in the car in front and …. More",,2 reviews · 1 photo,2 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNybzdxM1lBEAE",2024-10-09T07:03:42Z
SARPI | Georgian-Turkish border - Google Maps,Horațiu Herdeș,5 stars,"Very quick crossing Turkey->Georgia. On the Turkish side, max. 2mts for passports. On the Georgian side, max 3mts for passports. On the Georgian side, there is bus no.16 that goes to Batumi (0,8 lari if you pay by card; someone on the bus can also use his/her Batumikard for you and you can pay him/her after.",,90 reviews · 86 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNwbk1lZkJnEAE",2024-10-09T07:03:42Z
SARPI | Georgian-Turkish border - Google Maps,Mehmet pirbudak,1 star,"Georgia boarder office is  unprofessional and rude, especially towards British citizens, and the toilets are not clean. Turkish border officers are 10x times better than Georgia border officers. Turkish officers are more friendly and …. More",,5 reviews,2 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURyeHRtVXZnRRAB",2024-10-09T07:03:42Z
SARPI | Georgian-Turkish border - Google Maps,Dana Kosová,1 star,Extremely arrogant behaviour of Georgian police and officers. Great demonstration how  a stupid individuals can destroy a good opinion about the nation and the country. Careful you cant even smile on the officer. Thats already reason for …. More,,2 reviews · 1 photo,2 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURydmZpdVVBEAE",2024-10-09T07:03:43Z
SARPI | Georgian-Turkish border - Google Maps,Silviu Smart (SilviuSmart),1 star,"They separate all families for passport control but German family is not separated , this is discriminatory !",Local Guide · 161 reviews · 279 photos,Local Guide · 161 reviews · 279 photos,3 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURMb282QWJ3EAE",2024-10-09T07:03:43Z
