User, User info, Review
alberto zamperetti,"Local Guide · 38 reviews · 5 photos","I took a night train from Mangiustau to Beyneu, arriving at 6 am. Upon disembarking, it was straightforward to find a shared taxi to the border (costing around $5-10 per person). The journey took approximately 30-40 minutes, as the road conditions were excellent and the taxi driver drove at a brisk pace. Upon reaching the border, if you are crossing on foot, you can bypass the queues quite easily. However, expect the process to take around 45 minutes to 1 hour due to various checks on both sides. After crossing the border, there are several taxis available, making it simple to arrange transportation to Nukus or Kungrad (just make sure to learn how to pronounce the city names correctly in Uzbek!). I paid $80 for the entire car ride to Nukus. While I believe I may have overpaid due to being European (which tends to inflate prices), we were in a hurry and there were two of us. However, if you're willing to wait for other passengers and share the ride, you can potentially save $20 or more each. The journey to Nukus took 8 hours and was quite intense. The old road is in a state of disrepair, while the new road is still under construction. However, the driver navigated between them as best as possible, sometimes resorting to off-road routes. It's not a relaxing trip, particularly for the first 4-5 hours.",4 months ago
hocklai ong,"4 reviews · 2 photos","drove past yst and it was smooth. officers were polite n helpful to foreigners. we went thru at 9pm, not so hot. took less than 60min.awesome.",3 months ago
arne tober,"1 review","The crossing takes quite a while (8 hours), because people do transport a lot and their goods are officially checked. On the Kazakh side, the officers are super polite and helpful, as we entered from Uzbekistan. We, as tourists, got great support in an not fully understood procedure.",11 months ago
Franta Šanta,"Local Guide · 226 reviews · 1,048 photos","No problem when you ride motorcycle and you're a tourist :) But still, this is a border crossing in Central Asia so it is necessary evil. This one especially in its pure state... In our case, we over-took whole queue to its beginning on Kazakh side (because we were tourists, of course) so saved aprox. 3 hours of waiting.",6 years ago
Met Malducati,"7 reviews · 1 photo","With motorcycle was good, we took a rainy day and in 3 hours we get out Kazakhstan e inside Uzbekistan...the uz police was nice and friendly...off course they permit us to skip all the vehicle line. If you get there with car gooooooood luuuck.....",7 years ago
Anubhab Dutta,"Local Guide · 13 reviews · 54 photos","From This Border Crossing Mia Khalifa Come To Kazakhstan 🇰🇿😁 …",a year ago
Zake Halmet,"Local Guide · 86 reviews · 1,180 photos","Very bad time passing Kazakh border...From Uzbekistan very good",5 years ago
mascala sitar,"Local Guide · 120 reviews · 416 photos","Prechod autem. 10h. Z Kazachstanu do Uzbekistanu. Nejhorsi hranice na svete. Umyslne zdrzovani. Dokazovani moci. Korupce. Podplaceni. Drzeni lidi jako dobytek v meziprostoru 5 hodiny (vcetne malinkych deti). Chaos. Odbavili za 4h jen 20 aut na kazasske strane a za dalsich 6hodin 20 aut na Uzbecke strane. Proste se jim nechtelo delat. Katastrofa. Escape game ve sbirani bumážek. Kdyz uz vam nauctuji poplatky za prechod autem za kazdou blbost, cca 20$ (fabricke tonovani zadnich skel treba), daji vam ucet, zase jdete k jinemu okenku a zjistite, ze vam dal nizsi ucet, nez jste platili, aby si zbytek mohli nechat. Musela jsem dat jednomu pracovnikovi cigarety, aby me nechal sedet v aute s partnerem a nemusela byt 5 hodin na nohach. Absolutne nelidske zachazeni. Vyhazet cely personal a vedeni teto hranice. Uzbeci, toto je obraz vasi zeme. Prvni kontakt se statem. Pracovnici zde ziji ve vlastni zkorumpovanem state. A oni dobre vedi, ze je to jedini prechod na stovky kilometru.",2 months ago
Алексей Качалов,"Local Guide · 17 reviews · 8 photos","Начитавшись отзывов про прохождение границы, решили проходить ее очень ранним утром в надежде пройти быстрее. Ночевали в Бейнеу, откуда ехать ещё час с небольшим. В итоге на границе были где-то в 5:30 по местному. Перед нами было 4 авто. Через минут 15 запустили. Казахскую прошли довольно быстро, на узбекской стороне чуть дольше из-за того, что нужно было заплатить за тонировку задних стекол, что заняло какое то время. На узбекской стороне необходимо вытаскивать все сумки из машины и проносить через сканер, так что нужно попотеть, если у вас их много. На все ушло около 2 часов, что очень быстро для этого погранперехода. Писали раньше про вымогательство денег (подарочки), как я понял, на Казахской стороне, мы не столкнулись, все говорят, что у них проводится реконструкция, может будут улучшения по сравнению с тем, что было раньше. Дорога после - полный ужас, такой мы ещё не встречали в наших многочисленных поездках. Часто приходилось ехать по степи в песочной пыли, где уже проложено несколько полос, выбирай любую. Дорога до Кунграда заняла 10 часов. Новая дорога строится и некоторые таксисты уже по ней ездят, кто знает, как туда заехать.",5 months ago
Some One,"Local Guide · 16 reviews · 31 photos","Казахам 0 звезд из пяти. Это просто ужасный пост! Ехал со стороны Узбекистана в Казахстан. Со стороны Узбекистана пропусная способоность невысокая, но они знают свое дело и сам процесс пересечения границы проходит быстро. Казахи же просто как к скоту относятся. Сперва вас в стойло загоняют всем "стадом", а потом это "стадо" гонят в ОДНО работающее окно, где важный таможенник ставит печати. Думаете, что это все? Нет, после этого вам нужно искать начальника таможни, который с важным видом посылает вас в другое окно, где нужно еще что-то объяснять, но, видимо, люди там работают не самые сообразительные, то обяснять приходится долго. И ладно бы я вез груз куда-то, так нет же - я обычный турист на машине. Кромешный ад и деревня. Сам пост грязный, вокруг степи, а по ним летают пакеты. Это какой-то средневековый ужас.",a year ago
